station_name,station_code,capacity,grid_connection_date,raw_keys
Neutripuro,NE=153554719,141.36,2024-06-20T10:00:37+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Intermarché Sesimbra,NE=197310512,215.865,2025-10-31T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Douropão,NE=196172858,66.17,2025-10-21T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Bomflex,NE=251207274,58.5,2026-03-27T12:48:42+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Colvi,NE=150833030,14.834,2024-04-12T12:36:26+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Sede - Centro Comunitário da Quinta do Conde,NE=153405717,34.77,2024-06-17T17:20:26+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
José João Pinheiro Barata,NE=148146942,109.44,2024-01-29T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
JFO Empresa,NE=157427483,12.1,2024-09-02T14:15:33+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
via Ormea 13,NE=155139007,6.6,2024-07-19T06:00:00+01:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
CS Padre José Filipe Rodrigues,NE=174939927,63.72,2025-04-24T18:29:24+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
António Evaristo Goncalves - Projeto 1,NE=153519969,74.1,2024-06-19T17:19:42+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Pavilhão Alto da Faia - CER Telheiras,NE=189647008,25.74,2025-09-05T16:50:44+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Colégio da Paz,NE=250936140,103.32,2026-03-26T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
Dayton Progress,NE=168036248,336.0,2025-02-27T00:00:00+00:00,"capacity, contactMethod, contactPerson, gridConnectionDate, latitude, longitude, plantAddress, plantCode, plantName"
